dynamicColors	mergedColors
A1CF	grey	grey
A2M	red	red
A2ML1	grey	grey
A4GALT	grey	grey
A4GNT	grey	grey
AAAS	brown	brown
AACS	blue	blue
AADAT	grey	grey
AAGAB	blue	blue
AAK1	turquoise	pink
AAMDC	grey	grey
AAMP	turquoise	pink
AANAT	grey	grey
AAR2	turquoise	pink
AARS2	brown	brown
AASDH	turquoise	pink
AASDHPPT	turquoise	pink
AASS	brown	brown
AATF	turquoise	pink
ABAT	grey	grey
ABCA1	yellow	magenta
ABCA12	grey	grey
ABCA13	black	black
ABCA2	turquoise	pink
ABCA3	red	red
ABCA4	grey	grey
ABCA5	brown	brown
ABCA6	yellow	magenta
ABCA7	brown	brown
ABCA8	red	red
ABCA9	yellow	magenta
ABCB1	grey	grey
ABCB10	turquoise	pink
ABCB11	grey	grey
ABCB4	grey	grey
ABCB5	grey	grey
ABCB7	turquoise	pink
ABCB8	brown	brown
ABCB9	grey	grey
ABCC1	turquoise	pink
ABCC10	brown	brown
ABCC11	grey	grey
ABCC12	grey	grey
ABCC2	grey	grey
ABCC3	grey	grey
ABCC4	grey	grey
ABCC5	pink	pink
ABCC6	blue	blue
ABCC8	grey	grey
ABCC9	red	red
ABCD2	magenta	magenta
ABCD3	turquoise	pink
ABCD4	brown	brown
ABCE1	blue	blue
ABCF1	turquoise	pink
ABCF2	blue	blue
ABCF3	pink	pink
ABCG1	grey	grey
ABCG2	red	red
ABCG4	grey	grey
ABCG5	grey	grey
ABCG8	grey	grey
ABHD1	grey	grey
ABHD10	pink	pink
ABHD11	grey	grey
ABHD12	grey	grey
ABHD12B	black	black
ABHD13	turquoise	pink
ABHD14B	grey	grey
ABHD15	turquoise	pink
ABHD16A	brown	brown
ABHD17B	turquoise	pink
ABHD17C	grey	grey
ABHD2	turquoise	pink
ABHD3	grey	grey
ABHD4	grey	grey
ABHD5	turquoise	pink
ABHD6	grey	grey
ABI1	pink	pink
ABI2	turquoise	pink
ABI3	yellow	magenta
ABI3BP	red	red
ABL1	turquoise	pink
ABL2	turquoise	pink
ABLIM1	turquoise	pink
ABLIM2	grey	grey
ABLIM3	red	red
ABO	blue	blue
ABR	turquoise	pink
ABRA	grey	grey
ABRACL	blue	blue
ABT1	blue	blue
ABTB1	brown	brown
ABTB2	turquoise	pink
ACAA2	grey	grey
ACACA	turquoise	pink
ACACB	brown	brown
