ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
hsa04640	hsa04640	Hematopoietic cell lineage	37/348	98/7914	1.15115478907914e-25	2.88939852058863e-23	2.2296050651638e-23	CD33/ITGAM/CSF1R/CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/CD37/HLA-DOA/CD1C/CSF2RA/IL7R/HLA-DMA/HLA-DQB1/CD1E/CD14/CSF1/CD1B/CD44/ITGA4/CR1/CD1D/IL2RA/CD1A/CD2/IL3RA/IL1B/CD3G/CD22/CD3E/CD5/CD3D/MS4A1/CD8A	37	pathway_KEGG	0.10632183908046
hsa04062	hsa04062	Chemokine signaling pathway	43/348	189/7914	8.32261900898707e-20	1.04448868562788e-17	8.05979946133484e-18	HCK/DOCK2/FGR/CCR2/PIK3CG/PIK3R5/CCL13/WAS/CCL23/RAC2/PIK3R6/GNAI2/CCR5/CCR1/GNGT2/GNG2/CX3CR1/VAV1/CCR4/CCL17/PRKCB/PIK3CD/CCR8/PREX1/JAK2/CCR7/CCL2/CCL18/RASGRP2/ITK/TIAM1/CCL19/CXCR6/CXCR4/PTK2B/CXCR3/PLCB2/CXCL10/CXCL11/CCL8/CCL5/CXCL9/CXCL13	43	pathway_KEGG	0.123563218390805
hsa04514	hsa04514	Cell adhesion molecules (CAMs)	36/348	147/7914	7.78551216198245e-18	6.51387850885865e-16	5.026435922122e-16	ITGAM/CD4/CD86/CD80/HLA-DRA/ITGB2/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/SELPLG/HLA-DRB1/HLA-DQA1/HLA-DOA/SIGLEC1/PTPRC/CD28/CD40/PDCD1LG2/HLA-DMA/HLA-DQB1/ICOS/ITGA4/ITGAL/SELL/CD274/HLA-E/CD2/CD40LG/SDC3/CD22/CTLA4/CD6/TIGIT/PDCD1/CD8A	36	pathway_KEGG	0.103448275862069
hsa04060	hsa04060	Cytokine-cytokine receptor interaction	49/348	294/7914	1.85690659503292e-16	1.16520888838316e-14	8.9913371970015e-15	CSF1R/CD4/CCR2/FAS/CCL13/CCL23/CSF2RB/IL10RA/TNFSF13B/CCR5/CCR1/CSF2RA/CD40/IL7R/IL16/CX3CR1/CSF1/TNFSF8/IL12RB1/CCR4/TGFB1/CCL17/IL21R/TNFSF12/IL2RA/CCR8/CCR7/IL3RA/CCL2/CD40LG/CCL18/LTA/TNFRSF9/TNFRSF1B/LTB/IL1B/CCL19/OSM/CXCR6/CXCR4/IL15RA/CXCR3/IL2RB/CXCL10/CXCL11/CCL8/CCL5/CXCL9/CXCL13	49	pathway_KEGG	0.140804597701149
hsa04061	hsa04061	Viral protein interaction with cytokine and cytokine receptor	28/348	100/7914	9.79833213787916e-16	4.91876273321534e-14	3.79556444919951e-14	CSF1R/CCR2/CCL13/CCL23/IL10RA/CCR5/CCR1/CX3CR1/CSF1/CCR4/CCL17/IL2RA/CCR8/CCR7/CCL2/CCL18/LTA/TNFRSF1B/CCL19/CXCR4/CXCR3/IL2RB/CXCL10/CXCL11/CCL8/CCL5/CXCL9/CXCL13	28	pathway_KEGG	0.0804597701149425
hsa04672	hsa04672	Intestinal immune network for IgA production	20/348	49/7914	3.75990110140103e-15	1.57289196075276e-13	1.21372246080314e-13	CD86/CD80/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/TNFSF13B/CD28/CD40/HLA-DMA/HLA-DQB1/ICOS/ITGA4/TGFB1/CD40LG/CXCR4/IL15RA	20	pathway_KEGG	0.0574712643678161
hsa04659	hsa04659	Th17 cell differentiation	28/348	107/7914	6.65337284527173e-15	2.38570940594743e-13	1.84093323839097e-13	CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DQB1/IL12RB1/TGFB1/STAT5A/NFATC2/IL21R/IL2RA/JAK2/FOXP3/IL1B/CD3G/CD247/CD3E/LCK/CD3D/IL2RB/TBX21/ZAP70/IRF4	28	pathway_KEGG	0.0804597701149425
hsa05323	hsa05323	Rheumatoid arthritis	26/348	93/7914	1.12479667657937e-14	3.52904957276778e-13	2.72319195382374e-13	CD86/CD80/HLA-DRA/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/TLR4/HLA-DOA/TNFSF13B/ACP5/CD28/HLA-DMA/HLA-DQB1/CSF1/ITGAL/ATP6V1B2/TGFB1/ATP6V0D2/CCL2/LTB/IL1B/CTLA4/CCL5	26	pathway_KEGG	0.0747126436781609
hsa05150	hsa05150	Staphylococcus aureus infection	26/348	96/7914	2.60180312113193e-14	7.25613981560128e-13	5.59920203845936e-13	ITGAM/HLA-DRA/C3AR1/ITGB2/FCGR2A/HLA-DPA1/HLA-DPB1/HLA-DMB/SELPLG/FPR3/HLA-DRB1/HLA-DQA1/HLA-DOA/C1QB/C1QC/C1QA/PTAFR/HLA-DMA/HLA-DQB1/C5AR1/ITGAL/FPR1/FCGR2B/FPR2/C1R/C1S	26	pathway_KEGG	0.0747126436781609
hsa05140	hsa05140	Leishmaniasis	23/348	76/7914	6.14187639976575e-14	1.5416109763412e-12	1.18958448163884e-12	ITGAM/CYBB/HLA-DRA/ITGB2/FCGR2A/NCF2/HLA-DPA1/HLA-DPB1/HLA-DMB/NCF4/HLA-DRB1/HLA-DQA1/TLR4/HLA-DOA/HLA-DMA/HLA-DQB1/ITGA4/TGFB1/CR1/PRKCB/MYD88/JAK2/IL1B	23	pathway_KEGG	0.0660919540229885
hsa05330	hsa05330	Allograft rejection	17/348	38/7914	7.24251868780464e-14	1.60065448458647e-12	1.23514541901409e-12	CD86/CD80/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/FAS/CD28/CD40/HLA-DMA/HLA-DQB1/HLA-E/CD40LG/PRF1	17	pathway_KEGG	0.0488505747126437
hsa04658	hsa04658	Th1 and Th2 cell differentiation	25/348	92/7914	7.65253140041341e-14	1.60065448458647e-12	1.23514541901409e-12	CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DQB1/IL12RB1/STAT5A/NFATC2/IL2RA/MAF/JAK2/RUNX3/CD3G/CD247/CD3E/LCK/CD3D/IL2RB/TBX21/ZAP70	25	pathway_KEGG	0.0718390804597701
hsa05152	hsa05152	Tuberculosis	34/348	179/7914	2.21457193745777e-13	4.27582735616846e-12	3.2994432104634e-12	MRC1/ITGAM/HLA-DRA/ITGB2/FCGR2A/HLA-DPA1/HLA-DPB1/HLA-DMB/FCER1G/HLA-DRB1/HLA-DQA1/CD74/TLR4/CLEC7A/HLA-DOA/IL10RA/ITGAX/CIITA/HLA-DMA/HLA-DQB1/CD14/CTSS/FCGR2B/TGFB1/CR1/TLR1/ATP6V0D2/MYD88/NOD2/JAK2/IL1B/SYK/CD209/CARD9	34	pathway_KEGG	0.0977011494252874
hsa05416	hsa05416	Viral myocarditis	20/348	60/7914	3.57366987471504e-13	6.11056878087635e-12	4.71522187327007e-12	CD86/CD80/HLA-DRA/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/RAC2/CD28/CD40/HLA-DMA/HLA-DQB1/ITGAL/HLA-E/CD40LG/FYN/PRF1	20	pathway_KEGG	0.0574712643678161
hsa04145	hsa04145	Phagosome	31/348	152/7914	3.65173433120101e-13	6.11056878087635e-12	4.71522187327007e-12	MRC1/ITGAM/CYBB/HLA-DRA/ITGB2/OLR1/MSR1/FCGR2A/NCF2/HLA-DPA1/HLA-DPB1/HLA-DMB/NCF4/HLA-DRB1/HLA-DQA1/TLR4/CLEC7A/COLEC12/HLA-DOA/MARCO/HLA-DMA/HLA-DQB1/CD14/CTSS/FCGR2B/ATP6V1B2/HLA-E/ATP6V0D2/CD209/C1R/TAP1	31	pathway_KEGG	0.0890804597701149
hsa04380	hsa04380	Osteoclast differentiation	28/348	128/7914	8.61838972680689e-13	1.27875467538933e-11	9.86751353623975e-12	BTK/CSF1R/SPI1/OSCAR/FCGR2A/NCF2/TYROBP/LCP2/NCF4/TREM2/SIRPA/ACP5/CSF1/FCGR2B/LILRB2/TGFB1/NFATC2/PIK3CD/LILRB4/LILRB5/MITF/SIRPB1/IL1B/FYN/SYK/LILRA5/LCK/SIRPG	28	pathway_KEGG	0.0804597701149425
