gse.HCCDB18.risk.score	group
GSM773540	1.05691157114084	High
GSM773541	-0.314338100846657	Low
GSM773542	1.45567487653261	High
GSM773543	1.3755193292553	High
GSM773544	2.60881790859165	High
GSM773545	-0.668732951828236	Low
GSM773546	0.481587753616999	High
GSM773547	0.448531692686959	High
GSM773548	0.602507976695526	High
GSM773549	-1.10105442162113	Low
GSM773550	2.04013470706972	High
GSM773551	0.355709083341989	High
GSM773552	2.01182022377655	High
GSM773553	2.31173657015602	High
GSM773554	1.91182867116376	High
GSM773555	1.05798802739433	High
GSM773556	0.461048365878782	High
GSM773557	0.98429839417046	High
GSM773558	2.7965862413773	High
GSM773559	-1.07628517736926	Low
GSM773560	0.456923990713298	High
GSM773561	0.162485634880434	High
GSM773562	1.65688269116419	High
GSM773563	0.269618207709703	High
GSM773564	-1.02635973965898	Low
GSM773565	2.38307871951201	High
GSM773566	-0.269245853829634	Low
GSM773567	-1.8653796418994	Low
GSM773568	0.129298067279943	High
GSM773569	-0.763685221177588	Low
GSM773570	0.798674446969603	High
GSM773571	0.810658393915597	High
GSM773572	-0.361584453139507	Low
GSM773573	2.21643699869653	High
GSM773574	0.217517520968233	High
GSM773575	0.167754545435967	High
GSM773576	-2.22436693507795	Low
GSM773577	-0.484975488614057	Low
GSM773578	0.596511704617576	High
GSM773579	0.203149937648915	High
GSM773580	-1.07168231401385	Low
GSM773581	0.462659253276307	High
GSM773582	-0.516849822396017	Low
GSM773583	-0.342984373172677	Low
GSM773584	-0.618088041023157	Low
GSM773585	0.61357702803416	High
GSM773586	0.685316198113602	High
GSM773587	-0.0883145857639821	Low
GSM773588	-1.09079964096645	Low
GSM773589	0.373045505134969	High
GSM773590	-0.627890809330803	Low
GSM773591	0.35523671802032	High
GSM773592	0.297408712724626	High
GSM773593	0.111130748410804	High
GSM773594	-0.402705808885392	Low
GSM773595	-0.624916622003945	Low
GSM773596	-0.653270628186804	Low
GSM773597	0.203562295427331	High
GSM773598	1.7454895480284	High
GSM773599	-0.232765218316049	Low
GSM773600	-0.684988855556239	Low
GSM773601	3.36831166727292	High
