Tag	p.value	HR	Low 95%CI	High 95%CI
MNDA	0.0392748176384952	0.865908882388601	0.755123897023154	0.992947244227506
CD33	0.0428655737292072	0.863708349056786	0.749511730837334	0.995304118051624
C1orf162	0.192403437354698	0.912881518978373	0.795963166126116	1.04697390929296
BTK	0.00306195772234597	0.814851730924654	0.711587122835649	0.93310196613024
LY86	0.0454125608834666	0.867981858718798	0.755573420293741	0.997113565445494
ALOX5AP	0.0906891645379174	0.889496575036628	0.776652232944182	1.01873673111393
IGSF6	0.0210043686024311	0.846493242333475	0.734782047955837	0.975188236171098
DOK2	0.117492116886803	0.893947250637285	0.776875280034017	1.02866149491456
PTPRO	0.0472444357330872	0.858575303828225	0.738520283472839	0.99814665736373
CD300C	0.150460690703009	0.902652008640548	0.785039599976901	1.03788477514611
MRC1	0.035644780125083	0.862081598280086	0.750623259669966	0.990090131792492
NLRC4	0.0249875485676487	0.844873120968274	0.729089445535837	0.979043922395646
LST1	0.0344621350138336	0.859308488805662	0.746645382611187	0.988971600348054
AIF1	0.162187527375258	0.906419957332612	0.789761079749832	1.04031100052576
ITGAM	0.1499942021205	0.903486099551142	0.786879325575734	1.03737270195132
CD300LF	0.0109853680861634	0.82959569067469	0.718354079572159	0.958063759303649
NCKAP1L	0.0613058067779579	0.876971317492083	0.764308770346995	1.00624083033175
SIGLEC9	0.287953045593206	0.926925434172054	0.805861277649779	1.06617700135785
TNFAIP8L2	0.0488782810942632	0.871528512094822	0.760075841963337	0.999323890405733
RASGRP4	0.0520135507595392	0.863524630410511	0.744721340643916	1.00128027307619
CSF1R	0.319373966281914	0.93188792004037	0.811075020226979	1.07069638918745
MS4A6A	0.191560437424121	0.911552851517579	0.793275201804834	1.04746574608576
LAIR1	0.153962780478518	0.905137746546524	0.78923723419963	1.0380583995814
HAVCR2	0.402346313947867	0.943609475673425	0.823750069463072	1.08090897420021
CD4	0.106654894145511	0.89389310722194	0.780023367107889	1.02438583359564
SPI1	0.303667133045546	0.930414483075142	0.810943397949235	1.06748647625118
HCK	0.226143539228516	0.917680070437343	0.798502167791976	1.05464549207996
CYBB	0.153415085314253	0.905844557980012	0.790844613233401	1.03756711431229
CD86	0.219709122159622	0.919309107367801	0.803731124132103	1.0515074127582
CD80	0.052990099502558	0.865515962914546	0.747723421641575	1.00186494147162
HLA-DRA	0.00942109002216842	0.836897612485002	0.731642682402372	0.957294633882373
C3AR1	0.430677834173903	0.945393404225073	0.822161377768436	1.0870964179541
P2RY13	0.00177411386103839	0.790135001177919	0.681638509070595	0.915900894357734
ITGB2	0.236945862946926	0.920132272764803	0.801568871524528	1.05623288211413
OLR1	0.130844368724902	0.896786124039657	0.778594399402496	1.03291951867011
OSCAR	0.147962993947871	0.902566773566108	0.785536198123339	1.03703277161726
GPR65	0.0230157342901761	0.84628995949455	0.732866974897266	0.977266980329801
RNASE6	0.266004929543128	0.925712904963004	0.807988839348543	1.06058938030131
MSR1	0.356347148740102	0.93659112747497	0.814881863014656	1.07647866504185
FCGR2A	0.55636691152037	0.959175042202776	0.834802652190959	1.10207695096571
NCF2	0.657773927363392	0.969123083698661	0.843555695252225	1.11338179167504
SPN	0.0138357911606752	0.832727595955786	0.719786300346153	0.963390451767173
SLCO2B1	0.123326215787292	0.897986572029678	0.783128968898477	1.02968976448392
LAPTM5	0.30223235294275	0.93204079244375	0.815392640092907	1.06537635497935
HLA-DPA1	0.0196719054672639	0.851124527132702	0.743307619970093	0.97458029653458
HLA-DPB1	0.00907657554935635	0.835049267403202	0.729295035109586	0.956138799005872
LAT2	0.348741782636265	0.938180257246267	0.82095305599353	1.07214680384064
SNX20	0.0181214219032198	0.840866032943026	0.728275460239933	0.970862982427556
MS4A4A	0.372037473009205	0.938625393612311	0.816761761345695	1.07867149422165
SAMHD1	0.383975468312512	0.941165989737447	0.821071877803136	1.07882567188697
HLA-DMB	0.00503750292744341	0.823115045156717	0.718425282421857	0.943060321150428
LPXN	0.0452262775494819	0.86145578637837	0.744462998071772	0.996834058652879
CD53	0.0758046556174781	0.885213177350418	0.773742520193939	1.01274306232829
P2RY12	0.00664168302501417	0.807247765878809	0.69160399560056	0.94222844237686
TYROBP	0.23790388310557	0.920563017806312	0.802341339714942	1.05620417122436
TLR7	0.0113355434987882	0.825305421071107	0.711332473565759	0.957539636332082
FGD2	0.0129030253285045	0.827006163468227	0.712006500937529	0.960579985595446
LCP2	0.129678820206574	0.897351930182568	0.780055238373507	1.03228649330192
SELPLG	0.16373990573451	0.905089731939815	0.786572924773143	1.04146404873922
NLRP3	0.0841903906639572	0.879523208757762	0.760272359649364	1.01747888756644
VSIG4	0.278312452105952	0.926205035450592	0.806338457662802	1.06389042906443
