p.value	HR	Low 95%CI	High 95%CI
TUBB6	0.00140148738078916	1.27650132988841	1.0989285797675	1.48276755669747
ASPH	0.00310301358983046	1.25961879209975	1.08095145130795	1.46781754119576
MMP14	0.00239831672728573	1.25178094685866	1.08283959722517	1.44708001345145
S100P	0.00495963894982512	1.24870267755503	1.06947516517688	1.4579659516219
IL1A	0.0031072468228353	1.21571294796581	1.06807496450902	1.38375865080886
TIMP1	0.0246419909640692	1.19214257105134	1.02270268762809	1.38965500619641
EREG	0.0105781786342787	1.1897037052857	1.04135591004003	1.35918459070934
KLF4	0.024467736804159	1.18909669883459	1.02255633399069	1.38276094155239
PLBD1	0.0401463616306798	1.17399937056119	1.00723894443839	1.36836897509614
MOB3B	0.0282306381200189	1.17152755845127	1.01703465600454	1.34948874368022
CAV1	0.0369079007796631	1.16981134955393	1.00957716642616	1.35547696506394
VCAN	0.0479191831793373	1.15442819020924	1.00131637508297	1.33095241375571
LY86	0.0454125608834666	0.867981858718798	0.755573420293741	0.997113565445494
FAM49A	0.0460850107056995	0.86594102076052	0.751731176443445	0.997502664427788
MNDA	0.0392748176384952	0.865908882388601	0.755123897023154	0.992947244227506
ACP5	0.0476644286154211	0.863605539590174	0.746941099451625	0.998491753310112
CD83	0.0429365153141207	0.863600396641168	0.749291120151325	0.995348303244487
MRC1	0.035644780125083	0.862081598280086	0.750623259669966	0.990090131792492
LST1	0.0344621350138336	0.859308488805662	0.746645382611187	0.988971600348054
MCEMP1	0.0468466105005405	0.858705390472189	0.738943088344363	0.997877859955518
PIK3IP1	0.0372612228485745	0.8539917394803	0.736127006850682	0.990728344855471
FCN1	0.0315695078471856	0.853458125594321	0.738655417577947	0.986103607730066
DOCK4	0.0306119797148133	0.852843075037279	0.738245439891119	0.98522966934454
CD37	0.0242814063760282	0.851513825331138	0.740377986230709	0.979331919931136
MS4A7	0.0235592101994383	0.850399927777068	0.739101285417211	0.978458638121591
GPR65	0.0230157342901761	0.84628995949455	0.732866974897266	0.977266980329801
CAT	0.0151394296291625	0.840316147481337	0.730257578760391	0.966961861479795
CD52	0.00683060726708534	0.819441273247439	0.709341214205567	0.946630460565326
CYP27A1	0.00299914768372936	0.799242845033313	0.689298619901577	0.926723348768864
