p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SPINK1	0	2.69508990511258	0.809	0.181	0	0	SPINK1
SCGB3A2	0	2.37119747897789	0.802	0.233	0	0	SCGB3A2
PIGR	0	1.87007753487981	0.905	0.219	0	0	PIGR
SFTPB	0	1.77307565696969	0.993	0.648	0	0	SFTPB
NAPSA	0	1.71253084167059	0.961	0.357	0	0	NAPSA
TCIM	0	1.64817379035618	0.814	0.199	0	0	TCIM
CEACAM6	0	1.52725717734394	0.799	0.085	0	0	CEACAM6
AQP3	0	1.49653739314321	0.857	0.126	0	0	AQP3
CXCL17	0	1.46768326977015	0.764	0.079	0	0	CXCL17
MUC1	0	1.30829461787514	0.846	0.116	0	0	MUC1
HOPX	0	1.30294835556688	0.85	0.13	0	0	HOPX
SFTPD	0	1.29512775530673	0.719	0.109	0	0	SFTPD
WFDC2	0	1.28189825497622	0.799	0.102	0	0	WFDC2
SFTA2	0	1.2610628053945	0.762	0.077	0	0	SFTA2
SLC34A2	0	1.16542513633271	0.813	0.112	0	0	SLC34A2
KRT18	0	1.1635744904686	0.793	0.09	0	0	KRT18
CLDN4	0	1.13468659924478	0.807	0.107	0	0	CLDN4
APOD	0	1.09629798141177	0.607	0.07	0	0	APOD
FOLR1	0	1.09265928943304	0.719	0.08	0	0	FOLR1
ELF3	0	1.07939684861522	0.759	0.083	0	0	ELF3
EPCAM	0	1.05383619926503	0.751	0.082	0	0	EPCAM
TACSTD2	0	1.04950149217918	0.744	0.088	0	0	TACSTD2
KRT8	0	1.01857578208035	0.751	0.1	0	0	KRT8
MGST1	0	1.01572677946416	0.764	0.1	0	0	MGST1
C4BPA	0	0.989581695533896	0.646	0.084	0	0	C4BPA
GPRC5A	0	0.96602388410485	0.699	0.073	0	0	GPRC5A
SPINT2	0	0.961232839699818	0.763	0.146	0	0	SPINT2
AGR3	0	0.890018516555565	0.685	0.059	0	0	AGR3
MALL	0	0.854865744683669	0.719	0.092	0	0	MALL
ATP1B1	0	0.842193608239425	0.72	0.129	0	0	ATP1B1
PRSS8	0	0.829331553234258	0.667	0.034	0	0	PRSS8
NKX2-1	0	0.811779529731966	0.675	0.067	0	0	NKX2-1
FMO5	0	0.799403250110572	0.547	0.036	0	0	FMO5
SMIM22	0	0.794878558323725	0.65	0.046	0	0	SMIM22
CIT	0	0.706997720827774	0.562	0.03	0	0	CIT
CEACAM5	0	0.692344038296558	0.497	0.009	0	0	CEACAM5
SDC1	0	0.689870949579958	0.593	0.052	0	0	SDC1
SFTA3	0	0.682808209876263	0.648	0.075	0	0	SFTA3
MBIP	0	0.68114724930551	0.649	0.08	0	0	MBIP
CLDN3	0	0.646229035062968	0.575	0.05	0	0	CLDN3
CLDN7	1.38375051529006e-307	0.697275621324064	0.583	0.058	2.6681477435823e-303	0	CLDN7
EFNA1	3.16906696211979e-303	0.726526527109506	0.653	0.092	6.11059491635938e-299	0	EFNA1
C16orf89	4.09892960403922e-302	0.936410257919116	0.621	0.08	7.90355606250843e-298	0	C16orf89
LMO3	1.98696286463255e-296	0.569506938154032	0.532	0.04	3.83126179558448e-292	0	LMO3
EMP2	4.62497338026914e-293	0.907479569246509	0.728	0.148	8.91787367183496e-289	0	EMP2
CP	5.22340662271094e-286	0.603152770403218	0.481	0.025	1.00717726499112e-281	0	CP
LAPTM4B	3.88546247351972e-285	0.675687499195547	0.597	0.079	7.49194874144073e-281	0	LAPTM4B
TMC5	2.67514443603168e-283	0.577134058004195	0.53	0.044	5.15821350155629e-279	0	TMC5
TXNDC17	4.02839448423165e-279	0.806598576167398	0.625	0.107	7.76755024449547e-275	0	TXNDC17
CYB5A	4.73972664452086e-279	0.967386484679108	0.826	0.304	9.13914091596512e-275	0	CYB5A
SELENBP1	1.05810478221106e-278	0.68682939742559	0.606	0.083	2.04023764105937e-274	0	SELENBP1
PGRMC1	4.92854723141953e-278	0.784592847094392	0.668	0.128	9.50322477162314e-274	0	PGRMC1
RASD1	6.48968446272823e-277	0.915174030588267	0.554	0.061	1.25134095810326e-272	0	RASD1
ERBB3	1.15510774769448e-275	0.513371170899982	0.474	0.028	2.2272787591045e-271	0	ERBB3
LGSN	4.36511013386565e-275	0.487635918928832	0.408	0.007	8.41680536011975e-271	0	LGSN
LMO7	1.18835532556109e-273	0.649438189266513	0.575	0.072	2.29138673874689e-269	0	LMO7
ZFP36L1	1.11223838070664e-272	0.976375427589978	0.928	0.514	2.14461804567854e-268	0	ZFP36L1
GDF15	1.69084109710577e-270	0.97207988797552	0.526	0.053	3.26027980343935e-266	0	GDF15
S100A14	1.3787695365511e-266	0.562613794481623	0.498	0.04	2.65854342037784e-262	0	S100A14
LGALS3BP	6.43470205454501e-263	0.881215429181617	0.847	0.38	1.24073925015737e-258	0	LGALS3BP
KRTCAP3	2.35318706027179e-262	0.451714693990925	0.435	0.02	4.53741528961606e-258	0	KRTCAP3
KRT19	3.570828230574e-262	0.70235103419051	0.62	0.098	6.88527099419279e-258	0	KRT19
MYO6	3.23842984514191e-261	0.609011470676523	0.589	0.089	6.24434042740263e-257	0	MYO6
MAL2	4.86176565347884e-260	0.548569710518207	0.519	0.054	9.3744565330379e-256	0	MAL2
RAB25	2.19192546453833e-253	0.448836322850247	0.429	0.022	4.22647068072281e-249	0	RAB25
CRABP2	3.1174354626334e-251	0.595633437445052	0.409	0.017	6.01103905904973e-247	0	CRABP2
RBPMS	5.41528822623187e-250	0.574898576259658	0.55	0.076	1.04417587578203e-245	0	RBPMS
DDR1	8.72877169439711e-250	0.493787511564052	0.476	0.041	1.68308175811365e-245	0	DDR1
PRR15L	6.97126786860772e-249	0.514813722053401	0.458	0.034	1.34419987042494e-244	0	PRR15L
KRT7	4.4444289906823e-248	0.755706044154546	0.58	0.089	8.56974797983362e-244	0	KRT7
CLDN10	4.91091422851584e-247	0.501836048307947	0.366	0.005	9.46922481542424e-243	0	CLDN10
CAPN8	1.76080446853688e-245	0.463173767033068	0.437	0.028	3.39518317623281e-241	0	CAPN8
PEBP4	1.6013355637403e-244	0.649677643259492	0.476	0.042	3.08769523400404e-240	0	PEBP4
SNHG25	1.17739540029436e-242	0.630999010636875	0.586	0.1	2.27025381084758e-238	0	SNHG25
