marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
A2M	Gonadal endothelial cell	1.1276635800655e-217	2.81915747156356	0.927	0.132	2.1743609150823e-213	5	0.795
A2M	Gonadal endothelial cell	2.4686842888271e-214	0.952611092186365	0.885	0.124	4.76011704571642e-210	4	0.761
A2M	Gonadal endothelial cell	1.04688469507957e-45	1.16362381228062	0.868	0.16	2.01860306905243e-41	11	0.708
A2M	Endothelial cell	1.1276635800655e-217	2.81915747156356	0.927	0.132	2.1743609150823e-213	5	0.795
A2M	Endothelial cell	2.4686842888271e-214	0.952611092186365	0.885	0.124	4.76011704571642e-210	4	0.761
A2M	Endothelial cell	1.04688469507957e-45	1.16362381228062	0.868	0.16	2.01860306905243e-41	11	0.708
ABCA3	Mitotic arrest phase fetal germ cell	3.64533372163957e-137	0.959145002450611	0.733	0.105	7.02893248206541e-133	6	0.628
ABCA3	Type II pneumocyte	3.64533372163957e-137	0.959145002450611	0.733	0.105	7.02893248206541e-133	6	0.628
ABCA3	Lung epithelial cell	3.64533372163957e-137	0.959145002450611	0.733	0.105	7.02893248206541e-133	6	0.628
ACP5	Enterocyte progenitor cell	0	1.30825634382659	0.844	0.106	0	2	0.738
ACP5	Gonadal mitotic phase fetal germ cell	0	1.30825634382659	0.844	0.106	0	2	0.738
ACP5	Osteoclast	0	1.30825634382659	0.844	0.106	0	2	0.738
ACP5	B cell	0	1.30825634382659	0.844	0.106	0	2	0.738
ACP5	Mitotic fetal germ cell	0	1.30825634382659	0.844	0.106	0	2	0.738
ACP5	Macrophage	0	1.30825634382659	0.844	0.106	0	2	0.738
ACP5	Osteoclast	0	1.30825634382659	0.844	0.106	0	2	0.738
ACP5	Paneth cell	0	1.30825634382659	0.844	0.106	0	2	0.738
ACSL4	Mast cell	9.41766195875608e-157	0.641582426720314	0.535	0.091	1.81591357888735e-152	3	0.444
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Pericyte	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Pan-cancer associated fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Smooth muscle cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Mesenchymal cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Myofibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Pericyte	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Myofibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Myofibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Smooth muscle cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Vascular smooth muscle cell(VSMC)	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Smooth muscle cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Smooth muscle cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Vascular smooth muscle cell(VSMC)	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Vascular smooth muscle cell(VSMC)	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Mural cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Stromal cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Basal epithelial cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Mesenchymal cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Myofibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Stromal cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Pericyte	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Myofibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Myofibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
